name; year; decade; crew; capacity; length; wingspan; wingarea; emptyweight; grossweight; maxspeed; cruisespeed; stallspeed; range; fuelcapacity; power
AirLony Highlander; 1998; 1990; one; one passenger; UNKNOWN; 7.3; 14.5; 240.0; 450.0; 102.0; 86.0; 35.0; UNKNOWN; UNKNOWN; UNKNOWN
Airo 1; 2008; 2000; one; one passenger; UNKNOWN; 9.78; 14.62; 278.0; 450.0; 94.0; 81.0; 32.0; UNKNOWN; UNKNOWN; 75.0
Airsport Sonet; UNKNOWN; 2000; one; one passenger; UNKNOWN; 11.7; 10.5; 265.0; 450.0; 109.0; 76.0; 35.0; UNKNOWN; UNKNOWN; 48.0
Alisport Yuma; UNKNOWN; 1990; one; one passenger; 6.45; 9.75; 13.44; 282.0; 450.0; 100.0; 86.0; 27.0; UNKNOWN; UNKNOWN; 75.0
Alpi Pioneer 200; UNKNOWN; 2000; one; one passenger; UNKNOWN; 7.3; 10.22; 264.0; 472.5; 113.0; 97.0; 34.0; UNKNOWN; UNKNOWN; 60.0
Alpi Pioneer 300; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.1; 11.0; 285.0; 472.5; 146.0; 135.0; 32.0; UNKNOWN; UNKNOWN; 75.0
Apollo Fox; UNKNOWN; 1990; one; one passenger; 5.8; 9.15; 11.4; 284.0; 450.0; 108.0; 81.0; 35.0; 432.0; UNKNOWN; 75.0
Arplast Micro'B; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 8.6; 8.3; 110.0; 250.0; 78.0; 59.0; 22.0; UNKNOWN; UNKNOWN; 19.0
Air Sports AIRector 120; 2010; 2010; one; UNKNOWN; UNKNOWN; 8.02; UNKNOWN; 120.0; 242.0; 97.0; 86.0; UNKNOWN; UNKNOWN; UNKNOWN; 37.0
ATEC 212 Solo; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 7.48; 7.27; 200.0; 315.0; 135.0; 119.0; 35.0; UNKNOWN; UNKNOWN; 48.0
ATEC 321 Faeta; 2003; 2000; one; one passenger; UNKNOWN; 9.6; 10.1; 278.0; 472.5; 146.0; 123.0; 28.0; UNKNOWN; UNKNOWN; 75.0
ATEC 122 Zephyr 2000; 1996; 1990; one; one passenger; UNKNOWN; 9.6; 10.07; 275.0; 472.5; 143.0; 116.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Aurore MB 02-2 Mini Bulle; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 9.0; 10.0; 130.0; 220.0; 76.0; 67.0; 32.0; UNKNOWN; UNKNOWN; 13.0
Aurore MB 02 Souricette; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 9.0; 10.1; 120.0; 200.0; 76.0; 57.0; 30.0; UNKNOWN; UNKNOWN; 19.0
Aurore MB 04 Souris Bulle; 1998; 1990; one; one passenger; 7.92; 11.25; 15.0; 250.0; 450.0; 92.0; 76.0; 32.0; UNKNOWN; UNKNOWN; 45.0
Australian Aircraft Kits Hornet STOL; 2004; 2000; one; one passenger; UNKNOWN; 8.9; 11.9; 330.0; 600.0; 97.0; 76.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Australian Aircraft Kits Bushman; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.0; UNKNOWN; 310.0; 600.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 86.0
Australian Aircraft Kits Wasp; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.9; 12.1; 320.0; 544.0; 97.0; 84.0; 35.0; UNKNOWN; UNKNOWN; 75.0
AV Vagabund; UNKNOWN; 1990; one; one passenger; UNKNOWN; 7.55; 18.2; 114.0; 450.0; 76.0; 62.0; 32.0; 217.0; UNKNOWN; 63.0
Aveko VL-3 Sprint; UNKNOWN; 2000; one; one passenger; 6.24; 8.44; 9.77; 285.0; 472.5; 158.0; 135.0; 29.0; UNKNOWN; UNKNOWN; 75.0
Jodel D18; UNKNOWN; 1980; one; one passenger; UNKNOWN; 7.5; 10.5; 230.0; 450.0; 127.0; 119.0; 32.0; UNKNOWN; UNKNOWN; 63.0
BOT SC07 Speed Cruiser; 2009; 2000; one; one passenger; 6.65; 8.1; 10.03; 291.0; 472.5; 125.0; 116.0; 35.0; 648.0; UNKNOWN; 75.0
BAaer BA-5 Gurí; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Best Off Nynja; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.7; 14.0; 266.0; 472.5; 113.0; 94.0; 35.0; UNKNOWN; UNKNOWN; 60.0
Blackshape Prime; 2007; 2000; one; one passenger; 7.18; 7.94; 9.96; 296.5; 472.5; 162.0; 148.0; 35.0; UNKNOWN; UNKNOWN; 75.0
BRM Argos; UNKNOWN; 2010; one; one passenger; 6.59; 8.4; 11.6; UNKNOWN; 450.0; 119.0; 103.0; 32.0; UNKNOWN; UNKNOWN; 75.0
BRM Land Africa; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.63; 18.08; 270.0; 450.0; UNKNOWN; 94.0; 22.0; UNKNOWN; UNKNOWN; 75.0
Celier XeWing; 2009; 2000; one; one passenger; UNKNOWN; 6.6; 10.0; 300.0; 472.5; UNKNOWN; 81.0; 38.0; UNKNOWN; UNKNOWN; 75.0
Bushcaddy R-80; 1994; 1990; one; one passenger; 6.73; 9.8; 15.6; 322.0; 599.0; UNKNOWN; 91.0; 30.0; UNKNOWN; UNKNOWN; 75.0
Bushcaddy R-120; UNKNOWN; 1990; one; one passenger; 6.73; 9.8; 15.6; 377.0; 680.0; UNKNOWN; 96.0; 30.0; UNKNOWN; UNKNOWN; 75.0
Club ULM Rotor Ptenets-2; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.2; 12.7; 220.0; 450.0; 86.0; 65.0; 35.0; UNKNOWN; UNKNOWN; 48.0
Colyaer Martin3 S100; UNKNOWN; 1990; one; one passenger; UNKNOWN; 12.4; 12.0; 280.0; 450.0; 140.0; 97.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Colyaer Freedom S100; 2006; 2000; one; one passenger; UNKNOWN; 12.4; 12.0; 380.0; 650.0; 124.0; 103.0; 38.0; UNKNOWN; UNKNOWN; 75.0
Colyaer Gannet S100; UNKNOWN; 2000; one; one passenger; UNKNOWN; 12.4; 12.0; 240.0; 450.0; 140.0; 97.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Ikarus C52; 2011; 2010; one; one passenger; 6.38; 9.45; 12.5; 289.5; 472.5; 105.0; 100.0; 35.0; 432.0; UNKNOWN; 75.0
Concept Composites MD03 Transat; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.8; 18.0; 300.0; 495.0; 81.0; 76.0; 35.0; UNKNOWN; UNKNOWN; 60.0
Didier Pti'tAvion; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.4; 15.04; 275.0; 450.0; 94.0; 81.0; 35.0; UNKNOWN; UNKNOWN; 60.0
Dova DV-1 Skylark; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.14; 9.44; 275.0; 472.5; 130.0; 113.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Egvoyager Voyager 203; 2010; 2010; one; one passenger; UNKNOWN; 8.0; UNKNOWN; 278.0; 472.5; UNKNOWN; 130.0; 34.0; UNKNOWN; UNKNOWN; 75.0
Ehroflug Coach II S; 1989; 1980; one; one passenger; UNKNOWN; 11.34; 15.0; 230.0; 450.0; 67.0; 54.0; 27.0; UNKNOWN; UNKNOWN; 70.0
Ekolot JK-05L Junior; UNKNOWN; 2010; one; one passenger; 5.7; 10.76; 10.2; 290.0; 450.0; 108.0; 97.0; 30.0; 540.0; UNKNOWN; 60.0
Ekolot KR-030 Topaz; UNKNOWN; 2010; one; one passenger; UNKNOWN; 10.76; 10.24; 290.0; 472.5; 119.0; 97.0; 35.0; UNKNOWN; UNKNOWN; 60.0
Lucas L11; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.4; 9.0; 275.0; 450.0; 110.0; 97.0; 35.0; UNKNOWN; UNKNOWN; 63.0
Eurodisplay SR-01 Magic; UNKNOWN; 2000; one; one passenger; 6.86; 9.45; 11.7; 360.0; 472.5; 119.0; UNKNOWN; 35.0; 188.0; UNKNOWN; 60.0
Eurofly Flash Light; UNKNOWN; 2000; one; one passenger; 6.5; 8.5; 13.5; 255.0; 450.0; 97.0; 70.0; 27.0; UNKNOWN; UNKNOWN; 48.0
Flaeming Air FA 04 Peregrine; UNKNOWN; 2000; one; one passenger; 6.15; 9.27; 10.05; 278.0; 472.5; 124.0; 119.0; 35.0; 620.0; UNKNOWN; 75.0
Fly Synthesis Catalina; 2010; 2010; one; one passenger; 6.28; 9.47; 12.6; 292.0; 495.0; UNKNOWN; 67.0; 32.0; UNKNOWN; UNKNOWN; 48.0
Fly Synthesis Storch; 1990; 1990; one; one passenger; 5.75; 8.7; 11.8; 275.0; 472.5; 111.0; 100.0; 35.0; UNKNOWN; UNKNOWN; 60.0
Fly Synthesis Syncro; 2009; 2000; one; one passenger; 6.75; 10.4; 10.54; 289.0; 472.5; 159.0; 124.0; 35.0; 648.0; UNKNOWN; 75.0
Fly Synthesis Texan; 1999; 1990; one; one passenger; 6.9; 8.6; 11.8; 289.0; 472.5; 130.0; 108.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Flying Machines FM250 Vampire; 2007; 2000; one; one passenger; 6.32; 7.8; 10.05; 266.0; 472.5; 135.0; 119.0; 35.0; 648.0; UNKNOWN; 75.0
Flyitalia MD3 Rider; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.5; 9.5; 287.0; 472.5; 113.0; 103.0; 33.0; UNKNOWN; UNKNOWN; 75.0
Flylab Tucano; UNKNOWN; 1990; one; one passenger; 6.3; 10.17; 16.99; 225.0; 450.0; 89.0; 67.0; 28.0; UNKNOWN; UNKNOWN; 48.0
FlyNano Nano; 2012; 2010; one; UNKNOWN; UNKNOWN; 4.8; UNKNOWN; 70.0; 200.0; UNKNOWN; 76.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
FMP Qualt 201; UNKNOWN; 2000; one; one passenger; UNKNOWN; 2.8; 10.5; 280.0; 472.5; 124.0; 92.0; 32.0; UNKNOWN; UNKNOWN; 63.0
G1 Aviation G1; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.9; 14.27; 274.0; 472.5; 108.0; 98.0; 27.0; UNKNOWN; UNKNOWN; 75.0
Golden Avio F30; UNKNOWN; 2000; one; one passenger; 6.8; 8.6; 10.6; 289.0; 472.5; 130.0; 119.0; 35.0; 648.0; UNKNOWN; 75.0
Guerpont Autoplum; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.6; 17.5; 230.0; 420.0; 81.0; 76.0; 27.0; UNKNOWN; UNKNOWN; 39.0
Harper Lil Breezy; UNKNOWN; 2000; one; one passenger; UNKNOWN; UNKNOWN; UNKNOWN; 200.0; 307.0; 57.0; 43.0; 24.0; UNKNOWN; UNKNOWN; 37.0
HB-Flugtechnik Amigo; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.0; 11.8; 300.0; 450.0; 97.0; 92.0; 30.0; UNKNOWN; UNKNOWN; 60.0
HB-Flugtechnik Dandy; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.6; 12.6; 260.0; 450.0; 92.0; 81.0; 27.0; UNKNOWN; UNKNOWN; 60.0
Houde Bimax; 2010; 2010; one; one passenger; UNKNOWN; 8.25; UNKNOWN; 278.0; 472.5; 135.0; 113.0; 35.0; UNKNOWN; UNKNOWN; 60.0
Houde Speedmax; UNKNOWN; 2010; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 190.0; 315.0; 146.0; 119.0; 35.0; UNKNOWN; UNKNOWN; 48.0
Humbert La Moto Du Ciel; UNKNOWN; 1980; one; one passenger; UNKNOWN; 11.3; 17.4; 240.0; 450.0; 81.0; 65.0; 32.0; UNKNOWN; UNKNOWN; 48.0
Ibis GS-700 Magic; 2003; 2000; one; one passenger; 6.85; 8.55; 12.48; 320.0; 600.0; 105.0; 100.0; 31.0; UNKNOWN; UNKNOWN; 75.0
Icarus F99 Rambo; UNKNOWN; 2000; one; one passenger; 6.04; 9.1; 10.095; 284.0; 469.0; 122.0; 108.0; 34.0; 756.0; UNKNOWN; 75.0
Mentzel Baltic Fox; 2009; 2000; one; one passenger; UNKNOWN; 10.0; 16.1; 330.0; 517.5; 76.0; 65.0; 30.0; UNKNOWN; UNKNOWN; 60.0
Jabiru J170; UNKNOWN; 2000; one; one passenger; 5.775; 9.66; 9.56; 320.0; 600.0; 130.0; 100.0; 39.0; 30.0; UNKNOWN; 63.0
Kubicek M-2 Scout; 2009; 2000; one; one passenger; 6.87; 9.6; 12.4; 320.0; 600.0; 119.0; 97.0; 39.0; UNKNOWN; UNKNOWN; 75.0
Lanitz Escapade One; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 8.94; 11.5; 119.5; 250.0; 88.0; 65.0; 27.0; UNKNOWN; UNKNOWN; 24.0
Lanitz Escapade Two; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.76; 10.11; 265.0; 472.5; 119.0; 90.0; 34.0; UNKNOWN; UNKNOWN; 71.0
Light Wing AC4; 2013; 2010; one; one passenger; 7.04; 9.6; 16.65; 350.0; 600.0; UNKNOWN; 86.0; 34.0; 324.0; UNKNOWN; 75.0
LTD LO-120S; UNKNOWN; 2000; one; one passenger; UNKNOWN; 15.5; 16.0; 220.0; 400.0; 81.0; 70.0; 32.0; UNKNOWN; UNKNOWN; 30.0
Marawing 1-L Malamut; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.1; 15.1; 295.0; 472.5; 107.0; 89.0; 27.0; UNKNOWN; UNKNOWN; 60.0
Medway SLA100 Executive; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.7; 13.8; 262.0; 450.0; 83.0; 70.0; 32.0; UNKNOWN; UNKNOWN; 60.0
Micro Aviation B22 Bantam; UNKNOWN; 1980; one; one passenger; UNKNOWN; 9.03; 15.1; 215.0; 430.0; 81.0; 65.0; 30.0; UNKNOWN; UNKNOWN; 60.0
Microleve Corsario; 1988; 1980; one; one passenger; UNKNOWN; 10.3; UNKNOWN; 247.0; 525.0; 86.0; 65.0; 26.0; UNKNOWN; UNKNOWN; 60.0
Microleve ML 500; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.3; 14.7; 225.0; 449.0; 76.0; 49.0; 32.0; UNKNOWN; UNKNOWN; 48.0
MSL Aero H80; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.6; 10.6; 280.0; 472.5; 113.0; 105.0; 31.0; UNKNOWN; UNKNOWN; 60.0
I-TEC Maverick; UNKNOWN; UNKNOWN; 1; 1; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 35.0; UNKNOWN; UNKNOWN; UNKNOWN; 140.0
Norman Aviation Nordic 8 Mini Explorer; UNKNOWN; 2000; one; one passenger; 6.4; 11.0; 16.75; 297.0; 559.0; 112.0; 74.0; 32.0; UNKNOWN; UNKNOWN; 75.0
Peak Aerospace Me 109R; 1991; 1990; one; one passenger; 6.3; 8.1; 10.53; 190.0; 322.0; 103.0; 94.0; 32.0; UNKNOWN; UNKNOWN; 48.0
Pegasus EDA 100 Flamingo; 2013; 2010; one; one passenger; UNKNOWN; 8.7; 10.53; 285.0; 472.5; 148.0; 140.0; 25.0; 814.0; UNKNOWN; 75.0
Podesva Trener; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.68; 10.8; 296.0; 472.5; 119.0; 94.0; 35.0; UNKNOWN; UNKNOWN; 56.0
Pro.Mecc Freccia Anemo; 2011; 2010; one; one passenger; UNKNOWN; 8.78; 10.18; 285.0; 472.5; 151.0; 140.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Pro.Mecc Sparviero; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.23; 12.0; 285.0; 472.5; 130.0; 121.0; 29.0; UNKNOWN; UNKNOWN; 75.0
Norman Aviation Nordic II; 1986; 1980; one; one passenger; 5.79; 10.06; 14.3; 281.0; 480.0; 87.0; 74.0; 30.0; 304.0; 45.0; 67.0
Norman Aviation Nordic VII; UNKNOWN; 1990; one; one passenger; 6.15; 10.3; 12.5; 283.0; 480.0; 100.0; 91.0; 35.0; 304.0; 45.0; 75.0
Norman Aviation J6 Karatoo; 1988; 1980; one; one passenger; 5.79; 10.06; 15.7; 286.0; 480.0; 87.0; 78.0; 33.0; 304.0; 45.0; 67.0
Anglin J6 Karatoo; 1982; 1980; one; one passenger; 6.1; 9.91; 13.6; 263.0; 544.0; 110.0; 80.0; 40.0; UNKNOWN; UNKNOWN; 67.0
Protoplane Ultra; UNKNOWN; 2000; one; one passenger; 7.24; 11.0; 12.1; 250.0; 450.0; 138.0; 119.0; 32.0; UNKNOWN; UNKNOWN; 63.0
Rainbow Cheetah; UNKNOWN; 2000; one; one passenger; 5.67; 9.6; 13.25; 248.0; 560.0; 96.0; 73.0; 30.0; 582.0; UNKNOWN; 60.0
RMT Bateleur; UNKNOWN; 2000; one; one passenger; UNKNOWN; 6.25; 14.0; 250.0; 450.0; 173.0; 162.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Roland Me 109 Replica; UNKNOWN; 2010; one; one passenger; 7.41; 8.13; 17.5; UNKNOWN; 600.0; 162.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 75.0
Roland S-STOL; UNKNOWN; 2000; one; one passenger; 6.1; 8.2; 11.4; 275.0; 530.0; 97.0; 76.0; 31.0; UNKNOWN; UNKNOWN; 60.0
Roland Z-602; UNKNOWN; 2000; one; one passenger; 6.1; 8.23; 12.4; 286.0; 590.0; 131.0; 124.0; 34.0; UNKNOWN; UNKNOWN; 75.0
Mosquito Aviation XE; 2004; 2000; 1; UNKNOWN; 4.9; UNKNOWN; UNKNOWN; 135.0; 277.0; 70.0; UNKNOWN; UNKNOWN; UNKNOWN; 45.0; 48.0
Rolandas Kalinauskas RK-6 Magic; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.7; 12.5; 270.0; 450.0; 92.0; 84.0; 32.0; UNKNOWN; UNKNOWN; 48.0
Rolandas Kalinauskas RK-7 Orange; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.2; 11.5; 150.0; 250.0; 65.0; 54.0; 32.0; UNKNOWN; UNKNOWN; 37.0
SAB C-100 Vulcan; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.0; 10.61; 282.0; 450.0; 135.0; 124.0; 33.0; UNKNOWN; UNKNOWN; 75.0
Sapphire Aircraft Australia Sapphire LSA; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 8.84; 9.132; 210.0; 360.0; 98.0; 89.0; 21.0; UNKNOWN; UNKNOWN; 37.0
Letov LK-2 Sluka; 1988; 1980; one; UNKNOWN; 5.1; 9.2; 13.34; 147.0; 250.0; 65.0; 38.0; 23.0; 108.0; UNKNOWN; 29.5
Servoplant Aerocraft; UNKNOWN; 1990; one; one passenger; UNKNOWN; 8.75; 17.5; 275.0; 450.0; 78.0; 51.0; 35.0; UNKNOWN; UNKNOWN; 78.0
Skyfly S-34 Skystar; UNKNOWN; 1990; one; one passenger; UNKNOWN; 9.6; 14.6; 159.0; 380.0; 70.0; 65.0; 27.0; UNKNOWN; UNKNOWN; 48.0
Skyleader GP One; 2010; 2010; one; one passenger; 6.25; 10.2; 11.165; 280.0; 472.5; 116.0; 104.0; 35.0; 740.0; UNKNOWN; 60.0
Kohl Mythos; UNKNOWN; 2000; one; one passenger; 6.24; 8.75; 10.3; 290.0; 450.0; 104.0; 92.0; 34.0; UNKNOWN; UNKNOWN; 75.0
Slepcev Storch; 1994; 1990; one; one passenger; UNKNOWN; 10.0; 15.0; UNKNOWN; 450.0; 81.0; 72.0; 22.0; UNKNOWN; UNKNOWN; 75.0
Direct Fly Alto; UNKNOWN; 2000; one; one passenger; 6.15; 8.1; 10.14; 287.0; 472.5; 132.0; 113.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Thruster T600 Sprint; UNKNOWN; 1990; one; one passenger; 5.8; 9.6; 15.7; 197.0; 450.0; 76.0; 57.0; 32.0; UNKNOWN; UNKNOWN; 48.0
ULBI Wild Thing; 1996; 1990; one; one passenger; 6.49; 9.15; 13.88; 290.0; 472.5; UNKNOWN; 92.0; 31.0; UNKNOWN; UNKNOWN; 89.0
Ultra-Leicht Flugtechnik Speedy Mouse; UNKNOWN; 2010; one; one passenger; 5.9; 9.2; 10.5; 298.0; 450.0; 124.0; 100.0; 35.0; 351.0; UNKNOWN; 75.0
Vervoost FV-3 Delphin; 2009; 2000; one; one passenger; UNKNOWN; 9.36; 11.92; 295.0; 472.5; 140.0; 108.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Vol Xerpa ULM Pulsar; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.2; 14.75; 205.0; 450.0; 89.0; 65.0; 30.0; UNKNOWN; UNKNOWN; 48.0
Weller ULI NG; 2010; 2010; one; UNKNOWN; 5.92; 9.68; 12.78; 119.5; 220.0; 51.0; 43.0; 24.0; 81.0; UNKNOWN; 22.0
Weller UW-9 Sprint; UNKNOWN; 2000; one; one passenger; 5.7; 9.8; 13.3; 290.0; 472.5; 92.0; 70.0; 33.0; 340.0; UNKNOWN; 52.0
APEV Scoutchel; UNKNOWN; UNKNOWN; one; UNKNOWN; 5.2; 8.3; 9.96; 130.0; 250.0; UNKNOWN; 54.0; 22.0; UNKNOWN; UNKNOWN; 75.0
Preceptor Stinger; UNKNOWN; 1990; one; UNKNOWN; 5.18; 9.3; 11.33; 181.0; 299.0; UNKNOWN; 70.0; 30.0; 261.0; 38.0; 37.0
Alpi Pioneer 400; 2013; 2010; One; Three passengers; 7.0; 8.8; 11.2; 290.0; UNKNOWN; 135.0; 119.0; 36.0; 486.0; UNKNOWN; 73.2
Aérostructure Lutin 80; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Hummel Ultracruiser; 2000; 2000; one; UNKNOWN; 4.9; 7.6; 10.4; 113.0; 227.0; UNKNOWN; 52.0; 24.0; UNKNOWN; 19.0; 28.0
Wings of Freedom Phoenix 103; UNKNOWN; 2000; one; UNKNOWN; 5.2; 8.2; 11.5; 115.0; 295.0; UNKNOWN; 55.0; 24.0; 87.0; 19.0; 37.0
DAR-23; 2001; 2000; one; one passenger; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 340.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 37.0
Summit 103 Mini Breeze; UNKNOWN; 2000; one; UNKNOWN; 2.57; UNKNOWN; 35.0; 109.0; 249.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 45.0; 30.0
Summit Steel Breeze; UNKNOWN; 2000; one; one passenger; 3.12; UNKNOWN; 46.0; 147.0; 386.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 53.0; 37.0
Synergy Paramotors Synergy; 2012; 2010; one; one passenger; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Sanstroem Friendship 3; 2012; 2010; one; one passenger; UNKNOWN; 11.47; 11.89; 292.0; 472.5; 127.0; 108.0; 32.0; UNKNOWN; UNKNOWN; 60.0
Rolandas Kalinauskas RK-5 Ruth; UNKNOWN; 2000; one; three passengers; UNKNOWN; 11.0; 15.2; 450.0; 900.0; 124.0; 105.0; 33.0; UNKNOWN; UNKNOWN; 100.0
Sochen Phoenix; UNKNOWN; UNKNOWN; Two; UNKNOWN; UNKNOWN; 9.75; UNKNOWN; 143.0; UNKNOWN; 56.0; 43.0; 24.0; 87.0; UNKNOWN; 39.0
Ace Magic; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.2; 11.5; 115.0; 245.0; 67.0; 56.0; 25.0; UNKNOWN; UNKNOWN; 30.0
AEF Monotrace; UNKNOWN; 2000; one; UNKNOWN; 2.5; UNKNOWN; UNKNOWN; 47.0; 180.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 25.0
Aeros Profi; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 10.0; 14.5; 52.0; 450.0; UNKNOWN; 67.0; 28.0; UNKNOWN; UNKNOWN; UNKNOWN
Aeros Still; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 10.3; 17.4; 45.0; 450.0; UNKNOWN; 43.0; 27.0; UNKNOWN; UNKNOWN; UNKNOWN
Aeros del Sur Manta; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 15.4; UNKNOWN; 472.5; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 48.0
Air Creation BioniX; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 9.85; 15.1; 56.0; 472.5; 85.0; 73.0; 30.0; UNKNOWN; UNKNOWN; UNKNOWN
Air Creation iXess; 2000; 2000; UNKNOWN; UNKNOWN; UNKNOWN; 10.0; 15.0; 53.0; 450.0; UNKNOWN; UNKNOWN; 32.0; UNKNOWN; UNKNOWN; UNKNOWN
Air Creation Tanarg; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.85; 15.1; 249.0; 472.5; 85.0; 73.0; 30.0; UNKNOWN; UNKNOWN; 75.0
Air Creation Trek; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 17.4; 190.0; UNKNOWN; 54.0; 49.0; 29.0; UNKNOWN; UNKNOWN; 45.0
Air Creation Fun; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 3.4; 10.0; UNKNOWN; 38.0; 250.0; UNKNOWN; 49.0; 22.0; UNKNOWN; UNKNOWN; UNKNOWN
Air Creation NuviX; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 9.55; 15.2; 52.0; 462.0; 76.0; UNKNOWN; 33.0; UNKNOWN; UNKNOWN; UNKNOWN
Air Creation Skypper; 2011; 2010; one; one passenger; UNKNOWN; 9.55; 15.2; 201.0; 462.0; 67.0; UNKNOWN; 29.0; UNKNOWN; UNKNOWN; 48.0
Airborne T-Lite; UNKNOWN; 2000; one; UNKNOWN; 2.2; 9.5; 15.6; 90.0; 210.0; UNKNOWN; 31.0; 17.0; 129.0; UNKNOWN; 16.0
Airbridge Cruiser Suzuki; 2004; 2000; one; one passenger; UNKNOWN; 9.28; 16.5; 230.0; 450.0; 70.0; 54.0; 32.0; UNKNOWN; UNKNOWN; 60.0
Airbridge Fregat-Hydro; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.28; 16.5; 230.0; 500.0; 70.0; 54.0; 32.0; UNKNOWN; UNKNOWN; 60.0
Airtrike Eagle 5; UNKNOWN; 2000; one; one passenger; UNKNOWN; UNKNOWN; 12.0; 215.0; 450.0; 81.0; 65.0; 30.0; UNKNOWN; UNKNOWN; 67.0
Apollo Delta Jet; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 14.5; 236.0; 472.5; 86.0; 70.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Apollo Monsoon; UNKNOWN; 2000; one; one passenger; UNKNOWN; 7.9; 12.5; 249.0; 450.0; 70.0; 58.0; 30.0; UNKNOWN; UNKNOWN; 75.0
